Country,Both Sexes,Male,Female
Turkmenistan,26.2,26.2,26.2
Tuvalu,30.7,29.8,31.5
Uganda,22.4,21.6,23.2
Ukraine,26.9,27.1,26.7
United Arab Emirates,28.6,28.3,29.3
United Kingdom of Great Britain and Northern Ireland,27.5,27.6,27.4
United Republic of Tanzania,23.0,22.1,23.9
United States of America,29.1,29.0,29.2
Uruguay,27.6,27.4,27.8
Uzbekistan,26.5,26.0,27.0
Vanuatu,26.0,25.4,26.7
Venezuela (Bolivarian Republic of),26.7,26.6,26.7
Vietnam,21.9,21.9,21.9
Yemen,23.4,23.2,23.6
Zambia,22.2,21.0,23.4
Zimbabwe,23.4,21.9,24.7
