Title,Author Lastname,Autor Name,Genre,Subgenre
Moon and Sixpence,Maugham,William S,fiction,classic
Short History of the World,Wells,H G,nonfiction,history
Trembling of a Leaf,Maugham,William S,fiction,novel
Doctor on the Brain,Gordon,Richard,fiction,novel
Simpsons & Their Mathematical Secrets,Singh,Simon,science,mathematics
Pattern Classification,Duda,Hart,tech,data science
From Beirut to Jerusalem,Friedman,Thomas,nonfiction,history
Code Book,Singh,Simon,science,mathematics
Age of the Warrior,Fisk,Robert,nonfiction,history
Numbers Behind Numb3rs,Devlin,Keith,science,mathematics
Life in Letters,Steinbeck,John,nonfiction,autobiography
Information,Gleick,James,science,mathematics
Elements of Information Theory,Thomas,Joy,tech,signal processing
Power Electronics - Rashid,Rashid,Muhammad,tech,computer science
Power Electronics - Mohan,Mohan,Ned,tech,computer science
Neural Networks,Haykin,Simon,tech,data science
Grapes of Wrath,Steinbeck,John,fiction,classic
Vyakti ani Valli,Deshpande,P L,nonfiction,misc
Statistical Learning Theory,Vapnik,Vladimir,tech,data science
Empire of the Mughal - The Tainted Throne,Rutherford,Alex,nonfiction,history
Empire of the Mughal - Brothers at War,Rutherford,Alex,nonfiction,history
Empire of the Mughal - Ruler of the World,Rutherford,Alex,nonfiction,history
Empire of the Mughal - The Serpent's Tooth,Rutherford,Alex,nonfiction,history
Empire of the Mughal - Raiders from the North,Rutherford,Alex,nonfiction,history
Mossad,Baz-Zohar,Michael,nonfiction,history
Jim Corbett Omnibus,Corbett,Jim,nonfiction,history
20000 Leagues Under the Sea,Verne,Jules,fiction,novel
Pointers in C,Kanetkar,Yashwant,tech,computer science
Cathedral and the Bazaar,Raymond,Eric,tech,computer science
Design with OpAmps,Franco,Sergio,tech,computer science
Think Complexity,Downey,Allen,tech,data science
Devil's Advocate,West,Morris,fiction,novel
Ayn Rand Answers,Rand,Ayn,philosophy,objectivism
Philosophy: Who Needs It,Rand,Ayn,philosophy,objectivism
Data Analysis with Open Source Tools,Janert,Phillip,tech,data science
Broca's Brain,Sagan,Carl,science,physics
Men of Mathematics,Bell,E T,science,mathematics
Oxford book of Modern Science Writing,Dawkins,Richard,science,science
Justice - Judiciary and Democracy,Ranjan,Sudhanshu,nonfiction,legal
Dongri to Dubai,Zaidi,Hussain,nonfiction,history
History of England - Foundation,Ackroyd,Peter,nonfiction,history
City of Djinns,Dalrymple,William,nonfiction,history
More Tears to Cry,Sassoon,Jean,fiction,novel
Ropemaker,Dickinson,Peter,fiction,novel
Angels & Demons,Brown,Dan,fiction,novel
Eyeless in Gaza,Huxley,Aldous,fiction,novel
Tales of Beedle the Bard,Rowling,J K,fiction,novel
Girl with the Dragon Tattoo,Larsson,Steig,fiction,novel
Girl who kicked the Hornet's Nest,Larsson,Steig,fiction,novel
Girl who played with Fire,Larsson,Steig,fiction,novel
Structure and Randomness,Tao,Terence,science,mathematics
Image Processing with MATLAB,Eddins,Steve,tech,signal processing
Animal Farm,Orwell,George,fiction,classic
Idiot,Dostoevsky,Fyodor,fiction,classic
Christmas Carol,Dickens,Charles,fiction,classic
